no_kk,nik,nama,jenis_kelamin,tempat_tanggal_lahir,pekerjaan,agama,pendidikan,status,shdk,alamat,rt,rw
3505050000000022,3505000500000022,"Warga RT 05 No 22",Perempuan,"Blitar, 19 Jan 1967",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000023,3505000500000023,"Warga RT 05 No 23",Laki-laki,"Blitar, 4 Jan 1963",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000024,3505000500000024,"Warga RT 05 No 24",Perempuan,"Blitar, 13 Jan 1969",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000025,3505000500000025,"Warga RT 05 No 25",Laki-laki,"Blitar, 21 Jan 1976",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000026,3505000500000026,"Warga RT 05 No 26",Perempuan,"Blitar, 11 Jan 1991",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000027,3505000500000027,"Warga RT 05 No 27",Laki-laki,"Blitar, 5 Jan 1975",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000028,3505000500000028,"Warga RT 05 No 28",Perempuan,"Blitar, 17 Jan 1994",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000029,3505000500000029,"Warga RT 05 No 29",Laki-laki,"Blitar, 3 Jan 1965",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000030,3505000500000030,"Warga RT 05 No 30",Perempuan,"Blitar, 20 Jan 1998",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000031,3505000500000031,"Warga RT 05 No 31",Laki-laki,"Blitar, 25 Jan 1959",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000032,3505000500000032,"Warga RT 05 No 32",Perempuan,"Blitar, 24 Jan 1953",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000033,3505000500000033,"Warga RT 05 No 33",Laki-laki,"Blitar, 18 Jan 1997",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000034,3505000500000034,"Warga RT 05 No 34",Perempuan,"Blitar, 1 Jan 1992",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000035,3505000500000035,"Warga RT 05 No 35",Laki-laki,"Blitar, 24 Jan 1963",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000036,3505000500000036,"Warga RT 05 No 36",Perempuan,"Blitar, 19 Jan 2002",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000037,3505000500000037,"Warga RT 05 No 37",Laki-laki,"Blitar, 13 Jan 1956",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000038,3505000500000038,"Warga RT 05 No 38",Perempuan,"Blitar, 16 Jan 1993",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000039,3505000500000039,"Warga RT 05 No 39",Laki-laki,"Blitar, 1 Jan 1972",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000040,3505000500000040,"Warga RT 05 No 40",Perempuan,"Blitar, 15 Jan 1962",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000041,3505000500000041,"Warga RT 05 No 41",Laki-laki,"Blitar, 27 Jan 1966",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000042,3505000500000042,"Warga RT 05 No 42",Perempuan,"Blitar, 26 Jan 1979",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000043,3505000500000043,"Warga RT 05 No 43",Laki-laki,"Blitar, 22 Jan 1985",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000044,3505000500000044,"Warga RT 05 No 44",Perempuan,"Blitar, 7 Jan 1967",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000045,3505000500000045,"Warga RT 05 No 45",Laki-laki,"Blitar, 28 Jan 1957",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000046,3505000500000046,"Warga RT 05 No 46",Perempuan,"Blitar, 16 Jan 1962",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000047,3505000500000047,"Warga RT 05 No 47",Laki-laki,"Blitar, 25 Jan 1979",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000048,3505000500000048,"Warga RT 05 No 48",Perempuan,"Blitar, 24 Jan 1972",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000049,3505000500000049,"Warga RT 05 No 49",Laki-laki,"Blitar, 23 Jan 2002",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000050,3505000500000050,"Warga RT 05 No 50",Perempuan,"Blitar, 11 Jan 1982",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000051,3505000500000051,"Warga RT 05 No 51",Laki-laki,"Blitar, 25 Jan 1991",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000052,3505000500000052,"Warga RT 05 No 52",Perempuan,"Blitar, 25 Jan 1965",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000053,3505000500000053,"Warga RT 05 No 53",Laki-laki,"Blitar, 11 Jan 1974",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000054,3505000500000054,"Warga RT 05 No 54",Perempuan,"Blitar, 13 Jan 1986",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000055,3505000500000055,"Warga RT 05 No 55",Laki-laki,"Blitar, 25 Jan 2005",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000056,3505000500000056,"Warga RT 05 No 56",Perempuan,"Blitar, 14 Jan 1957",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000057,3505000500000057,"Warga RT 05 No 57",Laki-laki,"Blitar, 2 Jan 2004",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000058,3505000500000058,"Warga RT 05 No 58",Perempuan,"Blitar, 27 Jan 1979",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000059,3505000500000059,"Warga RT 05 No 59",Laki-laki,"Blitar, 28 Jan 1975",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000060,3505000500000060,"Warga RT 05 No 60",Perempuan,"Blitar, 7 Jan 1984",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000061,3505000500000061,"Warga RT 05 No 61",Laki-laki,"Blitar, 22 Jan 1983",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000062,3505000500000062,"Warga RT 05 No 62",Perempuan,"Blitar, 14 Jan 1969",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000063,3505000500000063,"Warga RT 05 No 63",Laki-laki,"Blitar, 19 Jan 1951",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000064,3505000500000064,"Warga RT 05 No 64",Perempuan,"Blitar, 16 Jan 1973",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000065,3505000500000065,"Warga RT 05 No 65",Laki-laki,"Blitar, 24 Jan 1981",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000066,3505000500000066,"Warga RT 05 No 66",Perempuan,"Blitar, 24 Jan 1950",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000067,3505000500000067,"Warga RT 05 No 67",Laki-laki,"Blitar, 15 Jan 1967",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000068,3505000500000068,"Warga RT 05 No 68",Perempuan,"Blitar, 20 Jan 1955",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000069,3505000500000069,"Warga RT 05 No 69",Laki-laki,"Blitar, 12 Jan 1981",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000070,3505000500000070,"Warga RT 05 No 70",Perempuan,"Blitar, 18 Jan 2000",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000071,3505000500000071,"Warga RT 05 No 71",Laki-laki,"Blitar, 9 Jan 1996",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000072,3505000500000072,"Warga RT 05 No 72",Perempuan,"Blitar, 18 Jan 1959",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000073,3505000500000073,"Warga RT 05 No 73",Laki-laki,"Blitar, 9 Jan 1953",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000074,3505000500000074,"Warga RT 05 No 74",Perempuan,"Blitar, 20 Jan 1988",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000075,3505000500000075,"Warga RT 05 No 75",Laki-laki,"Blitar, 8 Jan 1985",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000076,3505000500000076,"Warga RT 05 No 76",Perempuan,"Blitar, 28 Jan 2007",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000077,3505000500000077,"Warga RT 05 No 77",Laki-laki,"Blitar, 26 Jan 1956",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000078,3505000500000078,"Warga RT 05 No 78",Perempuan,"Blitar, 2 Jan 1997",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000079,3505000500000079,"Warga RT 05 No 79",Laki-laki,"Blitar, 17 Jan 1983",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000080,3505000500000080,"Warga RT 05 No 80",Perempuan,"Blitar, 4 Jan 1993",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000081,3505000500000081,"Warga RT 05 No 81",Laki-laki,"Blitar, 13 Jan 1967",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000082,3505000500000082,"Warga RT 05 No 82",Perempuan,"Blitar, 28 Jan 2004",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000083,3505000500000083,"Warga RT 05 No 83",Laki-laki,"Blitar, 22 Jan 1991",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000084,3505000500000084,"Warga RT 05 No 84",Perempuan,"Blitar, 18 Jan 1971",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000085,3505000500000085,"Warga RT 05 No 85",Laki-laki,"Blitar, 16 Jan 1966",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000086,3505000500000086,"Warga RT 05 No 86",Perempuan,"Blitar, 12 Jan 1957",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000087,3505000500000087,"Warga RT 05 No 87",Laki-laki,"Blitar, 7 Jan 2005",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000088,3505000500000088,"Warga RT 05 No 88",Perempuan,"Blitar, 20 Jan 1985",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000089,3505000500000089,"Warga RT 05 No 89",Laki-laki,"Blitar, 27 Jan 1979",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000090,3505000500000090,"Warga RT 05 No 90",Perempuan,"Blitar, 15 Jan 1997",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000091,3505000500000091,"Warga RT 05 No 91",Laki-laki,"Blitar, 25 Jan 1969",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000092,3505000500000092,"Warga RT 05 No 92",Perempuan,"Blitar, 19 Jan 1974",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000093,3505000500000093,"Warga RT 05 No 93",Laki-laki,"Blitar, 9 Jan 1953",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000094,3505000500000094,"Warga RT 05 No 94",Perempuan,"Blitar, 17 Jan 1975",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000095,3505000500000095,"Warga RT 05 No 95",Laki-laki,"Blitar, 11 Jan 1982",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000096,3505000500000096,"Warga RT 05 No 96",Perempuan,"Blitar, 13 Jan 1966",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000097,3505000500000097,"Warga RT 05 No 97",Laki-laki,"Blitar, 2 Jan 1960",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000098,3505000500000098,"Warga RT 05 No 98",Perempuan,"Blitar, 13 Jan 1956",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000099,3505000500000099,"Warga RT 05 No 99",Laki-laki,"Blitar, 22 Jan 1996",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000100,3505000500000100,"Warga RT 05 No 100",Perempuan,"Blitar, 14 Jan 1970",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000101,3505000500000101,"Warga RT 05 No 101",Laki-laki,"Blitar, 25 Jan 1957",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000102,3505000500000102,"Warga RT 05 No 102",Perempuan,"Blitar, 18 Jan 1990",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000103,3505000500000103,"Warga RT 05 No 103",Laki-laki,"Blitar, 10 Jan 1983",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000104,3505000500000104,"Warga RT 05 No 104",Perempuan,"Blitar, 27 Jan 1996",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000105,3505000500000105,"Warga RT 05 No 105",Laki-laki,"Blitar, 27 Jan 1995",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000106,3505000500000106,"Warga RT 05 No 106",Perempuan,"Blitar, 16 Jan 1970",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000107,3505000500000107,"Warga RT 05 No 107",Laki-laki,"Blitar, 14 Jan 1981",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000108,3505000500000108,"Warga RT 05 No 108",Perempuan,"Blitar, 1 Jan 2008",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000109,3505000500000109,"Warga RT 05 No 109",Laki-laki,"Blitar, 4 Jan 1964",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000110,3505000500000110,"Warga RT 05 No 110",Perempuan,"Blitar, 25 Jan 1963",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000111,3505000500000111,"Warga RT 05 No 111",Laki-laki,"Blitar, 2 Jan 1954",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000112,3505000500000112,"Warga RT 05 No 112",Perempuan,"Blitar, 6 Jan 1985",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000113,3505000500000113,"Warga RT 05 No 113",Laki-laki,"Blitar, 28 Jan 1979",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000114,3505000500000114,"Warga RT 05 No 114",Perempuan,"Blitar, 13 Jan 1997",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000115,3505000500000115,"Warga RT 05 No 115",Laki-laki,"Blitar, 25 Jan 1952",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000116,3505000500000116,"Warga RT 05 No 116",Perempuan,"Blitar, 11 Jan 1964",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000117,3505000500000117,"Warga RT 05 No 117",Laki-laki,"Blitar, 15 Jan 1999",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000118,3505000500000118,"Warga RT 05 No 118",Perempuan,"Blitar, 18 Jan 1977",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000119,3505000500000119,"Warga RT 05 No 119",Laki-laki,"Blitar, 5 Jan 1997",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000120,3505000500000120,"Warga RT 05 No 120",Perempuan,"Blitar, 5 Jan 1992",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000121,3505000500000121,"Warga RT 05 No 121",Laki-laki,"Blitar, 17 Jan 1978",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000122,3505000500000122,"Warga RT 05 No 122",Perempuan,"Blitar, 2 Jan 1950",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000123,3505000500000123,"Warga RT 05 No 123",Laki-laki,"Blitar, 7 Jan 1986",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000124,3505000500000124,"Warga RT 05 No 124",Perempuan,"Blitar, 9 Jan 2004",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000125,3505000500000125,"Warga RT 05 No 125",Laki-laki,"Blitar, 8 Jan 1965",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000126,3505000500000126,"Warga RT 05 No 126",Perempuan,"Blitar, 2 Jan 2005",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000127,3505000500000127,"Warga RT 05 No 127",Laki-laki,"Blitar, 15 Jan 2003",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000128,3505000500000128,"Warga RT 05 No 128",Perempuan,"Blitar, 6 Jan 1965",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000129,3505000500000129,"Warga RT 05 No 129",Laki-laki,"Blitar, 13 Jan 2005",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000130,3505000500000130,"Warga RT 05 No 130",Perempuan,"Blitar, 10 Jan 2009",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000131,3505000500000131,"Warga RT 05 No 131",Laki-laki,"Blitar, 7 Jan 1982",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000132,3505000500000132,"Warga RT 05 No 132",Perempuan,"Blitar, 27 Jan 1965",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000133,3505000500000133,"Warga RT 05 No 133",Laki-laki,"Blitar, 21 Jan 1973",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000134,3505000500000134,"Warga RT 05 No 134",Perempuan,"Blitar, 19 Jan 2003",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000135,3505000500000135,"Warga RT 05 No 135",Laki-laki,"Blitar, 11 Jan 1953",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000136,3505000500000136,"Warga RT 05 No 136",Perempuan,"Blitar, 4 Jan 1962",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000137,3505000500000137,"Warga RT 05 No 137",Laki-laki,"Blitar, 26 Jan 1962",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000138,3505000500000138,"Warga RT 05 No 138",Perempuan,"Blitar, 17 Jan 1977",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000139,3505000500000139,"Warga RT 05 No 139",Laki-laki,"Blitar, 14 Jan 1969",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000140,3505000500000140,"Warga RT 05 No 140",Perempuan,"Blitar, 16 Jan 1969",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000141,3505000500000141,"Warga RT 05 No 141",Laki-laki,"Blitar, 15 Jan 1974",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000142,3505000500000142,"Warga RT 05 No 142",Perempuan,"Blitar, 4 Jan 1979",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
