no_kk,nik,nama,jenis_kelamin,tempat_tanggal_lahir,pekerjaan,agama,pendidikan,status,shdk,alamat,rt,rw
3505010000000034,3505000100000034,"Warga RT 01 No 34",Perempuan,"Blitar, 5 Jan 1961",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000035,3505000100000035,"Warga RT 01 No 35",Laki-laki,"Blitar, 5 Jan 1988",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000036,3505000100000036,"Warga RT 01 No 36",Perempuan,"Blitar, 15 Jan 1995",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000037,3505000100000037,"Warga RT 01 No 37",Laki-laki,"Blitar, 7 Jan 1955",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000038,3505000100000038,"Warga RT 01 No 38",Perempuan,"Blitar, 3 Jan 1989",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000039,3505000100000039,"Warga RT 01 No 39",Laki-laki,"Blitar, 15 Jan 1970",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000040,3505000100000040,"Warga RT 01 No 40",Perempuan,"Blitar, 5 Jan 1991",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000041,3505000100000041,"Warga RT 01 No 41",Laki-laki,"Blitar, 3 Jan 1994",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000042,3505000100000042,"Warga RT 01 No 42",Perempuan,"Blitar, 13 Jan 1975",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000043,3505000100000043,"Warga RT 01 No 43",Laki-laki,"Blitar, 27 Jan 2004",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000044,3505000100000044,"Warga RT 01 No 44",Perempuan,"Blitar, 27 Jan 1975",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000045,3505000100000045,"Warga RT 01 No 45",Laki-laki,"Blitar, 25 Jan 1993",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000046,3505000100000046,"Warga RT 01 No 46",Perempuan,"Blitar, 18 Jan 1967",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000047,3505000100000047,"Warga RT 01 No 47",Laki-laki,"Blitar, 13 Jan 1953",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000048,3505000100000048,"Warga RT 01 No 48",Perempuan,"Blitar, 3 Jan 1962",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000049,3505000100000049,"Warga RT 01 No 49",Laki-laki,"Blitar, 18 Jan 1981",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000050,3505000100000050,"Warga RT 01 No 50",Perempuan,"Blitar, 16 Jan 1969",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000051,3505000100000051,"Warga RT 01 No 51",Laki-laki,"Blitar, 19 Jan 1950",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000052,3505000100000052,"Warga RT 01 No 52",Perempuan,"Blitar, 15 Jan 1969",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000053,3505000100000053,"Warga RT 01 No 53",Laki-laki,"Blitar, 14 Jan 1956",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000054,3505000100000054,"Warga RT 01 No 54",Perempuan,"Blitar, 8 Jan 1961",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000055,3505000100000055,"Warga RT 01 No 55",Laki-laki,"Blitar, 4 Jan 1971",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000056,3505000100000056,"Warga RT 01 No 56",Perempuan,"Blitar, 5 Jan 1952",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000057,3505000100000057,"Warga RT 01 No 57",Laki-laki,"Blitar, 11 Jan 1997",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000058,3505000100000058,"Warga RT 01 No 58",Perempuan,"Blitar, 4 Jan 1963",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000059,3505000100000059,"Warga RT 01 No 59",Laki-laki,"Blitar, 17 Jan 1982",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000060,3505000100000060,"Warga RT 01 No 60",Perempuan,"Blitar, 10 Jan 1950",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000061,3505000100000061,"Warga RT 01 No 61",Laki-laki,"Blitar, 15 Jan 1982",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000062,3505000100000062,"Warga RT 01 No 62",Perempuan,"Blitar, 2 Jan 1951",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000063,3505000100000063,"Warga RT 01 No 63",Laki-laki,"Blitar, 7 Jan 1993",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000064,3505000100000064,"Warga RT 01 No 64",Perempuan,"Blitar, 20 Jan 1957",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000065,3505000100000065,"Warga RT 01 No 65",Laki-laki,"Blitar, 27 Jan 1962",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000066,3505000100000066,"Warga RT 01 No 66",Perempuan,"Blitar, 2 Jan 1953",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000067,3505000100000067,"Warga RT 01 No 67",Laki-laki,"Blitar, 25 Jan 2010",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000068,3505000100000068,"Warga RT 01 No 68",Perempuan,"Blitar, 18 Jan 1959",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000069,3505000100000069,"Warga RT 01 No 69",Laki-laki,"Blitar, 14 Jan 1969",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000070,3505000100000070,"Warga RT 01 No 70",Perempuan,"Blitar, 22 Jan 1963",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000071,3505000100000071,"Warga RT 01 No 71",Laki-laki,"Blitar, 22 Jan 1951",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000072,3505000100000072,"Warga RT 01 No 72",Perempuan,"Blitar, 4 Jan 1956",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000073,3505000100000073,"Warga RT 01 No 73",Laki-laki,"Blitar, 10 Jan 1999",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000074,3505000100000074,"Warga RT 01 No 74",Perempuan,"Blitar, 10 Jan 1972",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000075,3505000100000075,"Warga RT 01 No 75",Laki-laki,"Blitar, 17 Jan 1984",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000076,3505000100000076,"Warga RT 01 No 76",Perempuan,"Blitar, 6 Jan 1964",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000077,3505000100000077,"Warga RT 01 No 77",Laki-laki,"Blitar, 2 Jan 1984",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000078,3505000100000078,"Warga RT 01 No 78",Perempuan,"Blitar, 9 Jan 1974",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000079,3505000100000079,"Warga RT 01 No 79",Laki-laki,"Blitar, 11 Jan 1955",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000080,3505000100000080,"Warga RT 01 No 80",Perempuan,"Blitar, 4 Jan 2002",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000081,3505000100000081,"Warga RT 01 No 81",Laki-laki,"Blitar, 24 Jan 1989",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000082,3505000100000082,"Warga RT 01 No 82",Perempuan,"Blitar, 21 Jan 1978",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000083,3505000100000083,"Warga RT 01 No 83",Laki-laki,"Blitar, 23 Jan 2002",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000084,3505000100000084,"Warga RT 01 No 84",Perempuan,"Blitar, 16 Jan 1987",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000085,3505000100000085,"Warga RT 01 No 85",Laki-laki,"Blitar, 26 Jan 1978",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000086,3505000100000086,"Warga RT 01 No 86",Perempuan,"Blitar, 12 Jan 1962",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000087,3505000100000087,"Warga RT 01 No 87",Laki-laki,"Blitar, 25 Jan 1979",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000088,3505000100000088,"Warga RT 01 No 88",Perempuan,"Blitar, 2 Jan 1984",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000089,3505000100000089,"Warga RT 01 No 89",Laki-laki,"Blitar, 16 Jan 1977",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000090,3505000100000090,"Warga RT 01 No 90",Perempuan,"Blitar, 9 Jan 1998",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000091,3505000100000091,"Warga RT 01 No 91",Laki-laki,"Blitar, 20 Jan 2008",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000092,3505000100000092,"Warga RT 01 No 92",Perempuan,"Blitar, 14 Jan 1954",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000093,3505000100000093,"Warga RT 01 No 93",Laki-laki,"Blitar, 23 Jan 2009",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000094,3505000100000094,"Warga RT 01 No 94",Perempuan,"Blitar, 19 Jan 1966",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000095,3505000100000095,"Warga RT 01 No 95",Laki-laki,"Blitar, 10 Jan 1969",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000096,3505000100000096,"Warga RT 01 No 96",Perempuan,"Blitar, 4 Jan 1994",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000097,3505000100000097,"Warga RT 01 No 97",Laki-laki,"Blitar, 28 Jan 2009",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000098,3505000100000098,"Warga RT 01 No 98",Perempuan,"Blitar, 10 Jan 1958",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000099,3505000100000099,"Warga RT 01 No 99",Laki-laki,"Blitar, 7 Jan 2007",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000100,3505000100000100,"Warga RT 01 No 100",Perempuan,"Blitar, 15 Jan 2003",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000101,3505000100000101,"Warga RT 01 No 101",Laki-laki,"Blitar, 7 Jan 1990",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000102,3505000100000102,"Warga RT 01 No 102",Perempuan,"Blitar, 15 Jan 2006",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000103,3505000100000103,"Warga RT 01 No 103",Laki-laki,"Blitar, 21 Jan 2005",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000104,3505000100000104,"Warga RT 01 No 104",Perempuan,"Blitar, 28 Jan 1951",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000105,3505000100000105,"Warga RT 01 No 105",Laki-laki,"Blitar, 23 Jan 1975",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000106,3505000100000106,"Warga RT 01 No 106",Perempuan,"Blitar, 26 Jan 1976",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000107,3505000100000107,"Warga RT 01 No 107",Laki-laki,"Blitar, 1 Jan 1971",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000108,3505000100000108,"Warga RT 01 No 108",Perempuan,"Blitar, 1 Jan 1985",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000109,3505000100000109,"Warga RT 01 No 109",Laki-laki,"Blitar, 28 Jan 1959",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000110,3505000100000110,"Warga RT 01 No 110",Perempuan,"Blitar, 28 Jan 1995",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000111,3505000100000111,"Warga RT 01 No 111",Laki-laki,"Blitar, 17 Jan 1995",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000112,3505000100000112,"Warga RT 01 No 112",Perempuan,"Blitar, 11 Jan 1986",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000113,3505000100000113,"Warga RT 01 No 113",Laki-laki,"Blitar, 14 Jan 2008",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000114,3505000100000114,"Warga RT 01 No 114",Perempuan,"Blitar, 17 Jan 1998",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000115,3505000100000115,"Warga RT 01 No 115",Laki-laki,"Blitar, 2 Jan 1968",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000116,3505000100000116,"Warga RT 01 No 116",Perempuan,"Blitar, 1 Jan 1950",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000117,3505000100000117,"Warga RT 01 No 117",Laki-laki,"Blitar, 12 Jan 1960",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000118,3505000100000118,"Warga RT 01 No 118",Perempuan,"Blitar, 25 Jan 1958",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000119,3505000100000119,"Warga RT 01 No 119",Laki-laki,"Blitar, 21 Jan 1956",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000120,3505000100000120,"Warga RT 01 No 120",Perempuan,"Blitar, 17 Jan 2008",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000121,3505000100000121,"Warga RT 01 No 121",Laki-laki,"Blitar, 28 Jan 1990",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000122,3505000100000122,"Warga RT 01 No 122",Perempuan,"Blitar, 5 Jan 1957",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000123,3505000100000123,"Warga RT 01 No 123",Laki-laki,"Blitar, 25 Jan 1993",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000124,3505000100000124,"Warga RT 01 No 124",Perempuan,"Blitar, 11 Jan 1985",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000125,3505000100000125,"Warga RT 01 No 125",Laki-laki,"Blitar, 14 Jan 1962",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000126,3505000100000126,"Warga RT 01 No 126",Perempuan,"Blitar, 16 Jan 1972",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000127,3505000100000127,"Warga RT 01 No 127",Laki-laki,"Blitar, 6 Jan 1951",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000128,3505000100000128,"Warga RT 01 No 128",Perempuan,"Blitar, 26 Jan 1984",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000129,3505000100000129,"Warga RT 01 No 129",Laki-laki,"Blitar, 4 Jan 1958",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000130,3505000100000130,"Warga RT 01 No 130",Perempuan,"Blitar, 19 Jan 1957",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000131,3505000100000131,"Warga RT 01 No 131",Laki-laki,"Blitar, 8 Jan 1983",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000132,3505000100000132,"Warga RT 01 No 132",Perempuan,"Blitar, 7 Jan 1967",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000133,3505000100000133,"Warga RT 01 No 133",Laki-laki,"Blitar, 21 Jan 1957",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000134,3505000100000134,"Warga RT 01 No 134",Perempuan,"Blitar, 17 Jan 1971",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000135,3505000100000135,"Warga RT 01 No 135",Laki-laki,"Blitar, 10 Jan 1957",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000136,3505000100000136,"Warga RT 01 No 136",Perempuan,"Blitar, 21 Jan 1950",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000137,3505000100000137,"Warga RT 01 No 137",Laki-laki,"Blitar, 8 Jan 1973",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000138,3505000100000138,"Warga RT 01 No 138",Perempuan,"Blitar, 18 Jan 1965",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000139,3505000100000139,"Warga RT 01 No 139",Laki-laki,"Blitar, 27 Jan 1997",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000140,3505000100000140,"Warga RT 01 No 140",Perempuan,"Blitar, 3 Jan 1994",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000141,3505000100000141,"Warga RT 01 No 141",Laki-laki,"Blitar, 23 Jan 1977",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000142,3505000100000142,"Warga RT 01 No 142",Perempuan,"Blitar, 20 Jan 1953",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
